LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1742899346.278303,289210.500,45048,2,EL,1,100,-18751.000000
1742899346.344803,289277.000,45048,2,EL,1,100,-18753.800781
1742899346.411804,289344.000,45064,1,EL,1,100,-18757.000000
1742899346.478305,289410.500,45083,2,EL,1,100,-18759.400391
1742899346.544806,289477.000,45083,2,EL,1,100,-18762.000000
1742899346.611806,289544.000,45100,1,EL,1,100,-18765.199219
1742899346.678307,289610.500,45115,2,EL,1,100,-18767.400391
1742899346.744808,289677.000,45115,2,EL,1,100,-18768.599609
1742899346.811808,289744.000,45131,1,EL,1,100,-18769.800781
1742899346.878309,289810.500,45149,2,EL,1,100,-18771.000000
1742899346.944810,289877.000,45149,2,EL,1,100,-18771.599609
1742899347.011811,289944.000,45165,1,EL,1,100,-18772.400391
1742899347.078311,290010.500,45182,2,EL,1,100,-18773.199219
1742899347.144812,290077.000,45182,2,EL,1,100,-18773.199219
1742899347.211813,290144.000,45200,1,EL,1,100,-18773.599609
1742899347.278313,290210.500,45223,2,EL,1,100,-18773.800781
1742899347.344814,290277.000,45223,2,EL,1,100,-18773.800781
1742899347.411315,290343.500,45239,2,EL,1,100,-18774.400391
1742899347.477816,290410.000,45239,2,EL,1,100,-18774.400391
1742899347.544816,290477.000,45256,1,EL,1,100,-18773.400391
1742899347.611317,290543.500,45272,2,EL,1,100,-18772.599609
1742899347.677818,290610.000,45272,2,EL,1,100,-18772.800781
1742899347.744818,290677.000,45288,1,EL,1,100,-18772.599609
1742899347.811319,290743.500,45304,2,EL,1,100,-18776.400391
1742899347.877820,290810.000,45304,2,EL,1,100,-18783.199219
1742899347.944820,290877.000,45324,2,EL,1,100,-18790.800781
1742899348.011821,290944.000,45324,2,EL,1,100,-18794.000000
1742899348.078322,291010.500,45342,2,EL,1,100,-18792.599609
1742899348.144823,291077.000,45342,2,EL,1,100,-18788.199219
1742899348.211823,291144.000,45359,1,EL,1,100,-18785.400391
1742899348.278324,291210.500,45376,2,EL,1,100,-18783.599609
1742899348.344825,291277.000,45376,2,EL,1,100,-18782.599609
1742899348.411825,291344.000,45393,1,EL,1,100,-18781.599609
1742899348.478326,291410.500,45411,2,EL,1,100,-18781.000000
1742899348.544827,291477.000,45411,2,EL,1,100,-18780.599609
1742899348.610828,291543.000,45429,1,EL,1,100,-18780.199219
1742899348.677828,291610.000,45443,2,EL,1,100,-18779.800781
1742899348.744829,291677.000,45443,2,EL,1,100,-18779.000000
1742899348.810830,291743.000,45460,1,EL,1,100,-18778.400391
1742899348.877831,291810.000,45477,2,EL,1,100,-18778.000000
1742899348.944831,291877.000,45477,2,EL,1,100,-18777.000000
1742899349.010832,291943.000,45494,1,EL,1,100,-18777.000000
1742899349.077833,292010.000,45509,2,EL,1,100,-18776.800781
1742899349.144833,292077.000,45509,2,EL,1,100,-18776.199219
1742899349.210834,292143.000,45527,1,EL,1,100,-18776.599609
1742899349.277835,292210.000,45544,2,EL,1,100,-18777.199219
1742899349.344836,292277.000,45544,2,EL,1,100,-18777.599609
1742899349.411336,292343.500,45561,2,EL,1,100,-18777.800781
1742899349.477837,292410.000,45561,2,EL,1,100,-18778.199219
1742899349.544838,292477.000,45577,1,EL,1,100,-18779.800781
1742899349.611338,292543.500,45593,2,EL,1,100,-18781.599609
1742899349.677839,292610.000,45593,2,EL,1,100,-18782.199219
1742899349.744840,292677.000,45609,1,EL,1,100,-18783.000000
1742899349.811341,292743.500,45626,2,EL,1,100,-18783.800781
1742899349.877841,292810.000,45626,2,EL,1,100,-18784.199219
1742899349.944842,292877.000,45645,1,EL,1,100,-18785.000000
1742899350.011343,292943.500,45660,2,EL,1,100,-18785.199219
1742899350.077843,293010.000,45660,2,EL,1,100,-18786.000000
1742899350.144844,293077.000,45676,1,EL,1,100,-18786.800781
1742899350.211345,293143.500,45694,2,EL,1,100,-18787.400391
1742899350.277845,293210.000,45694,2,EL,1,100,-18788.000000
1742899350.344846,293277.000,45710,1,EL,1,100,-18787.000000
1742899350.411347,293343.500,45725,2,EL,1,100,-18787.000000
1742899350.477848,293410.000,45725,2,EL,1,100,-18786.800781
1742899350.544848,293477.000,45741,1,EL,1,100,-18786.800781
1742899350.611349,293543.500,45761,2,EL,1,100,-18786.400391
1742899350.677850,293610.000,45761,2,EL,1,100,-18787.000000
1742899350.744850,293677.000,45777,1,EL,1,100,-18786.599609
1742899350.811351,293743.500,45793,2,EL,1,100,-18786.800781
1742899350.877852,293810.000,45793,2,EL,1,100,-18787.000000
1742899350.944853,293877.000,45809,1,EL,1,100,-18786.800781
1742899351.011353,293943.500,45826,2,EL,1,100,-18786.599609
1742899351.077854,294010.000,45826,2,EL,1,100,-18786.000000
1742899351.144855,294077.000,45842,1,EL,1,100,-18785.599609
1742899351.211355,294143.500,45860,2,EL,1,100,-18785.000000
1742899351.277856,294210.000,45860,2,EL,1,100,-18784.800781
1742899351.344357,294276.500,45876,2,EL,1,100,-18785.000000
1742899351.410857,294343.000,45876,2,EL,1,100,-18786.000000
1742899351.477858,294410.000,45893,1,EL,1,100,-18786.000000
1742899351.544359,294476.500,45910,2,EL,1,100,-18786.199219
1742899351.610860,294543.000,45910,2,EL,1,100,-18785.800781
1742899351.677860,294610.000,45927,1,EL,1,100,-18785.400391
1742899351.744361,294676.500,45941,2,EL,1,100,-18785.000000
1742899351.810862,294743.000,45941,2,EL,1,100,-18784.599609
1742899351.877862,294810.000,45958,1,EL,1,100,-18784.599609
1742899351.944363,294876.500,45975,2,EL,1,100,-18785.800781
1742899352.010864,294943.000,45975,2,EL,1,100,-18787.599609
1742899352.077865,295010.000,45994,1,EL,1,100,-18789.199219
1742899352.144365,295076.500,46008,2,EL,1,100,-18792.199219
1742899352.210866,295143.000,46008,2,EL,1,100,-18796.000000
1742899352.277867,295210.000,46026,1,EL,1,100,-18799.000000
1742899352.344534,295276.667,46047,3,EL,1,100,-18801.000000
1742899352.411201,295343.333,46047,3,EL,1,100,-18802.599609
1742899352.477869,295410.000,46047,3,EL,1,100,-18803.400391
1742899352.544370,295476.500,46066,2,EL,1,100,-18802.800781
1742899352.610870,295543.000,46066,2,EL,1,100,-18803.000000
1742899352.677871,295610.000,46085,1,EL,1,100,-18802.800781
1742899352.744372,295676.500,46103,2,EL,1,100,-18802.800781
1742899352.810873,295743.000,46103,2,EL,1,100,-18803.599609
1742899352.877873,295810.000,46120,1,EL,1,100,-18804.199219
1742899352.944374,295876.500,46135,2,EL,1,100,-18805.400391
1742899353.010875,295943.000,46135,2,EL,1,100,-18806.800781
1742899353.077875,296010.000,46152,1,EL,1,100,-18808.400391
1742899353.144376,296076.500,46168,2,EL,1,100,-18811.599609
1742899353.210877,296143.000,46168,2,EL,1,100,-18815.199219
1742899353.277878,296210.000,46186,1,EL,1,100,-18819.000000
1742899353.344378,296276.500,46205,2,EL,1,100,-18821.800781
1742899353.410879,296343.000,46205,2,EL,1,100,-18824.400391
1742899353.477880,296410.000,46221,1,EL,1,100,-18827.199219
1742899353.544380,296476.500,46238,2,EL,1,100,-18828.800781
1742899353.610881,296543.000,46238,2,EL,1,100,-18830.000000
1742899353.677882,296610.000,46255,1,EL,1,100,-18831.599609
1742899353.744382,296676.500,46272,2,EL,1,100,-18831.599609
1742899353.810883,296743.000,46272,2,EL,1,100,-18830.000000
1742899353.877384,296809.500,46289,2,EL,1,100,-18830.599609
1742899353.943885,296876.000,46289,2,EL,1,100,-18832.000000
1742899354.010885,296943.000,46305,1,EL,1,100,-18832.000000
1742899354.077386,297009.500,46324,2,EL,1,100,-18833.000000
1742899354.143887,297076.000,46324,2,EL,1,100,-18833.000000
1742899354.210887,297143.000,46340,1,EL,1,100,-18833.400391
1742899354.277388,297209.500,46356,2,EL,1,100,-18834.000000
1742899354.343889,297276.000,46356,2,EL,1,100,-18834.000000
1742899354.410890,297343.000,46372,1,EL,1,100,-18832.599609
1742899354.477390,297409.500,46389,2,EL,1,100,-18830.400391
1742899354.543891,297476.000,46389,2,EL,1,100,-18830.400391
1742899354.610892,297543.000,46406,1,EL,1,100,-18830.599609
1742899354.677392,297609.500,46421,2,EL,1,100,-18830.199219
1742899354.743893,297676.000,46421,2,EL,1,100,-18830.000000
1742899354.810894,297743.000,46439,1,EL,1,100,-18829.199219
1742899354.877395,297809.500,46457,2,EL,1,100,-18830.199219
1742899354.943895,297876.000,46457,2,EL,1,100,-18830.000000
1742899355.010896,297943.000,46473,1,EL,1,100,-18830.800781
1742899355.077397,298009.500,46488,2,EL,1,100,-18831.000000
1742899355.143898,298076.000,46488,2,EL,1,100,-18830.800781
1742899355.210898,298143.000,46504,1,EL,1,100,-18831.599609
1742899355.277399,298209.500,46522,2,EL,1,100,-18831.199219
1742899355.343899,298276.000,46522,2,EL,1,100,-18831.199219
1742899355.410900,298343.000,46538,1,EL,1,100,-18831.800781
1742899355.477401,298409.500,46555,2,EL,1,100,-18831.800781
1742899355.543902,298476.000,46555,2,EL,1,100,-18831.400391
1742899355.610902,298543.000,46572,1,EL,1,100,-18832.000000
1742899355.677403,298609.500,46589,2,EL,1,100,-18831.400391
1742899355.743904,298676.000,46589,2,EL,1,100,-18831.400391
1742899355.810905,298743.000,46605,1,EL,1,100,-18832.000000
1742899355.877405,298809.500,46622,2,EL,1,100,-18832.000000
1742899355.943906,298876.000,46622,2,EL,1,100,-18831.800781
